"geo","gdp_pps_pct","unemp_rate","educ_tertiary","rnd_gdp_pct","hitech_emp_pct","broadband_pct","country","dev_class"
"CZ08",71,7.75,22.5666666666667,1.16,281.62,94.4,"CZ","meno_sviluppata"
"EE00",85,7.79166666666667,41.2333333333333,1.75,162.51,94.92,"EE","transizione"
"ES11",78,12.0083333333333,41.3666666666667,1.1,51.94,96.51,"ES","transizione"
"ES12",76,13.1583333333333,44.5666666666667,0.87,66.93,97.155,"ES","transizione"
"ES13",79,11.9916666666667,43.5,0.96,44.62,97.505,"ES","transizione"
"ES21",107,12.1666666666667,55,2.32,41.33,97.765,"ES","piu_sviluppata"
"ES22",103,12.0083333333333,48.7333333333333,1.91,41.68,98.095,"ES","piu_sviluppata"
"ES23",89,12.2333333333333,40.0333333333333,0.75,53.94,97.475,"ES","transizione"
"ES24",95,10.9416666666667,40.5666666666667,1.02,49.55,98.15,"ES","transizione"
"ES30",116,12.8666666666667,49.6666666666667,1.93,43.42,98.77,"ES","piu_sviluppata"
"ES41",82,12.2416666666667,39.3666666666667,1.37,49.6,97.8,"ES","transizione"
"ES42",70,16.075,31.3666666666667,0.8,50.91,97.215,"ES","meno_sviluppata"
"ES43",66,19.7916666666667,29.2333333333333,0.74,61.53,97.275,"ES","meno_sviluppata"
"ES51",99,12.5166666666667,42.4666666666667,1.78,44.97,98.435,"ES","transizione"
"ES52",75,16.7333333333333,38.2,1.2,61.36,98.41,"ES","transizione"
"ES53",84,14.7,36.3,0.48,51.7,98.635,"ES","transizione"
"ES61",64,21.9916666666667,33.9666666666667,1.06,71.95,97.235,"ES","meno_sviluppata"
"ES62",72,14.875,33.7333333333333,1.09,61.05,98.465,"ES","meno_sviluppata"
"ES63",64,30.9545454545455,24.7333333333333,0.21,88.94,96.255,"ES","meno_sviluppata"
"ES64",58,28.7888888888889,34.5,0.35,84.84,99.31,"ES","meno_sviluppata"
"ES70",62,23.8166666666667,35.6333333333333,0.56,76.44,98.35,"ES","meno_sviluppata"
"FI19",97,9.38333333333333,40.2,2.74,139.22,97.345,"FI","transizione"
